size expected actual delta
818 1073633279 1073650777 17498 -715
819 1073637281 1073654000 16719 -779
820 1073641171 1073657140 15969 -750
821 1073644979 1073660271 15292 -677
822 1073648717 1073663313 14596 -696
823 1073652261 1073666186 13925 -671
824 1073655515 1073668870 13355 -570
825 1073658616 1073671465 12849 -506
826 1073661625 1073673887 12262 -587
827 1073664571 1073676236 11665 -597
828 1073667458 1073678619 11161 -504
829 1073670202 1073680842 10640 -521
830 1073672714 1073682838 10124 -516
831 1073675089 1073684793 9704 -420
832 1073677403 1073686662 9259 -445
833 1073679675 1073688435 8760 -499
834 1073681893 1073690313 8420 -340
835 1073683991 1073691974 7983 -437
836 1073685919 1073693624 7705 -278
837 1073687733 1073695091 7358 -347
838 1073689499 1073696514 7015 -343
839 1073691234 1073697932 6698 -317
840 1073692930 1073699228 6298 -400
841 1073694532 1073700517 5985 -313
842 1073695986 1073701707 5721 -264
843 1073697370 1073702784 5414 -307
844 1073698710 1073703897 5187 -227
845 1073700021 1073704932 4911 -276
846 1073701308 1073705969 4661 -250
847 1073702523 1073706927 4404 -257
848 1073703626 1073707853 4227 -177
849 1073704657 1073708693 4036 -191
850 1073705669 1073709485 3816 -220
851 1073706658 1073710302 3644 -172
852 1073707622 1073711103 3481 -163
853 1073708540 1073711789 3249 -232
854 1073709368 1073712522 3154 -95
855 1073710139 1073713127 2988 -166
856 1073710887 1073713708 2821 -167
857 1073711629 1073714270 2641 -180
858 1073712354 1073714865 2511 -130
859 1073713035 1073715431 2396 -115
860 1073713652 1073715892 2240 -156
861 1073714224 1073716371 2147 -93
862 1073714779 1073716802 2023 -124
863 1073715323 1073717268 1945 -78
864 1073715863 1073717695 1832 -113
865 1073716371 1073718098 1727 -105
866 1073716824 1073718487 1663 -64
867 1073717244 1073718817 1573 -90
868 1073717654 1073719118 1464 -109
869 1073718055 1073719415 1360 -104
870 1073718445 1073719723 1278 -82
871 1073718821 1073720024 1203 -75
872 1073719155 1073720309 1154 -49
873 1073719460 1073720558 1098 -56
874 1073719758 1073720810 1052 -46
875 1073720051 1073721044 993 -59
876 1073720337 1073721287 950 -43
877 1073720606 1073721511 905 -45
878 1073720852 1073721677 825 -80
879 1073721073 1073721853 780 -45
880 1073721286 1073722032 746 -34
881 1073721498 1073722197 699 -47
882 1073721705 1073722356 651 -48
883 1073721901 1073722502 601 -50
884 1073722074 1073722629 555 -46
885 1073722234 1073722769 535 -20
886 1073722388 1073722883 495 -40
887 1073722537 1073723012 475 -20
888 1073722686 1073723137 451 -24
889 1073722827 1073723246 419 -32
890 1073722951 1073723341 390 -29
891 1073723061 1073723417 356 -34
892 1073723172 1073723508 336 -20
893 1073723279 1073723587 308 -28
894 1073723383 1073723659 276 -32
895 1073723483 1073723739 256 -20
896 1073723572 1073723809 237 -19
897 1073723649 1073723881 232 -5
898 1073723723 1073723931 208 -24
899 1073723800 1073723986 186 -22
900 1073723874 1073724047 173 -13
901 1073723943 1073724114 171 -2
902 1073724005 1073724164 159 -12
903 1073724060 1073724207 147 -12
904 1073724111 1073724244 133 -14
905 1073724162 1073724285 123 -10
906 1073724215 1073724330 115 -8
907 1073724264 1073724370 106 -9
908 1073724306 1073724397 91 -15
909 1073724344 1073724423 79 -12
910 1073724379 1073724452 73 -6
911 1073724414 1073724482 68 -5
912 1073724448 1073724511 63 -5
913 1073724483 1073724549 66 3
914 1073724513 1073724571 58 -8
